Study,SampleName,location,age_months,lifestyle,study_accession,BioSample,NCBI_SampleName,SRA
Raman2019,Bgsng8233.m21,Bangladesh,20.1,Transitional,,,,
Raman2019,Bgsng8234.m5,Bangladesh,4,Transitional,,,,
Raman2019,Bgsng8241.m18,Bangladesh,18,Transitional,,,,
Raman2019,Bgsng8245.m12,Bangladesh,12,Transitional,,,,
Raman2019,Bgsng8248.m25,Bangladesh,24.1,Transitional,,,,
Raman2019,Bgsng8260.m29,Bangladesh,28,Transitional,,,,
Raman2019,Bgsng8270.m10,Bangladesh,9.1,Transitional,,,,
Raman2019,Bgsng7063.m12,Bangladesh,11.2,Transitional,,,,
Raman2019,Bgsng7071.m10,Bangladesh,10.2,Transitional,,,,
Raman2019,Bgsng7096.m17,Bangladesh,16.1,Transitional,,,,
Raman2019,Bgsng7142.m21,Bangladesh,20.2,Transitional,,,,
Raman2019,Bgsng7090.m19,Bangladesh,18.1,Transitional,,,,
Raman2019,Bgsng7128.m7,Bangladesh,6,Transitional,,,,
Raman2019,Bgsng7155.m20,Bangladesh,19,Transitional,,,,
Raman2019,Bgsng7173.m11,Bangladesh,10.5,Transitional,,,,
Raman2019,Bgsng7177.m6,Bangladesh,5.3,Transitional,,,,
Raman2019,Bgsng7178.m16,Bangladesh,15.5,Transitional,,,,
Raman2019,Bgsng7202.m16,Bangladesh,15.5,Transitional,,,,
Raman2019,Bgsng7204.m4,Bangladesh,3.3,Transitional,,,,
Raman2019,SA1C0327.m24.21,South Africa,24.2,Transitional,,,,
Raman2019,Bgsng8169.m5,Bangladesh,5.6,Transitional,,,,
Raman2019,SA1C0315.m1.94,South Africa,1.9,Transitional,,,,
Raman2019,SA1C0335.m18.99,South Africa,19,Transitional,,,,
Raman2019,SA1C0338.m10.97,South Africa,11,Transitional,,,,
Raman2019,SA1C0345.m19.91,South Africa,19.9,Transitional,,,,
Raman2019,SA1C0349.m9.07,South Africa,9.1,Transitional,,,,
Raman2019,SA1C0350.m22.01,South Africa,22,Transitional,,,,
Raman2019,PE1C0042.m14.06,Peru,14.1,Transitional,,,,
Raman2019,PE1C0051.m2.99,Peru,3,Transitional,,,,
Raman2019,PE1C0067.m4.04,Peru,4,Transitional,,,,
Raman2019,PE1C0077.m24.08,Peru,24.1,Transitional,,,,
Raman2019,PE1C0118.m4.01,Peru,4,Transitional,,,,
Raman2019,PE1C0119.m2.92,Peru,2.9,Transitional,,,,
Raman2019,PE1C0151.m15.08,Peru,15.1,Transitional,,,,
Raman2019,PE1C0159.m5.98,Peru,6,Transitional,,,,
Raman2019,PE1C0167.m1.87,Peru,1.9,Transitional,,,,
Raman2019,PE1C0183.m6.93,Peru,6.9,Transitional,,,,
Raman2019,PE1C0199.m15.08,Peru,15.1,Transitional,,,,
Raman2019,PE1C0220.m1.94,Peru,1.9,Transitional,,,,
Raman2019,PE1C0228.m17.12,Peru,17.1,Transitional,,,,
Raman2019,PE1C0264.m20.01,Peru,20,Transitional,,,,
Raman2019,PE1C0274.m2.04,Peru,2,Transitional,,,,
Raman2019,PE1C0276.m1.97,Peru,2,Transitional,,,,
Raman2019,PE1C0326.m24.97,Peru,25,Transitional,,,,
Raman2019,PE1C0332.m19.97,Peru,20,Transitional,,,,
Raman2019,PE1C0333.m4.99,Peru,5,Transitional,,,,
Raman2019,PE1C0335.m1.87,Peru,1.9,Transitional,,,,
Raman2019,PE1C0340.m14.95,Peru,15,Transitional,,,,
Raman2019,PE1C0350.m19.91,Peru,19.9,Transitional,,,,
Raman2019,Bgsng8031.m3,Bangladesh,2.2,Transitional,,,,
Raman2019,Bgsng8033.m3,Bangladesh,2.3,Transitional,,,,
Raman2019,Bgsng8048.m17,Bangladesh,15.9,Transitional,,,,
Raman2019,Bgsng8119.m32,Bangladesh,31.1,Transitional,,,,
Raman2019,Bgsng8145.m7,Bangladesh,6.2,Transitional,,,,
Raman2019,Bgsng8161.m17,Bangladesh,16.7,Transitional,,,,
Raman2019,Bgsng8168.m3,Bangladesh,2.1,Transitional,,,,
Raman2019,Bgsng8178.m32,Bangladesh,31.1,Transitional,,,,
Raman2019,Bgsng8224.m16,Bangladesh,15,Transitional,,,,
Raman2019,Bgsng8024.m37,Bangladesh,35.9,Transitional,,,,
Raman2019,Bgsng8067.m37,Bangladesh,36,Transitional,,,,
Raman2019,Bgsng8157.m37,Bangladesh,36,Transitional,,,,
Raman2019,Bgsng8261.m37,Bangladesh,36,Transitional,,,,
Raman2019,IN1C0002.m10.91,India,10.9,Transitional,,,,
Raman2019,IN1C0012.m3.91,India,3.9,Transitional,,,,
Raman2019,IN1C0146.m7.03,India,7,Transitional,,,,
Raman2019,IN1C0153.m11.07,India,11.1,Transitional,,,,
Raman2019,IN1C0156.m5.95,India,6,Transitional,,,,
Raman2019,IN1C0180.m6.01,India,6,Transitional,,,,
Raman2019,IN1C0217.m3.94,India,3.9,Transitional,,,,
Raman2019,BR1C0217.m9,Brazil,9,Industrialized,,,,
Raman2019,BR1C0221.m24.28,Brazil,24.3,Industrialized,,,,
Raman2019,BR1C0222.m17.21,Brazil,17.2,Industrialized,,,,
Raman2019,BR1C0225.m22.08,Brazil,22.1,Industrialized,,,,
Raman2019,BR1C0228.m4.04,Brazil,4,Industrialized,,,,
Raman2019,BR1C0232.m12.16,Brazil,12.2,Industrialized,,,,
Raman2019,BR1C0235.m22.01,Brazil,22,Industrialized,,,,
Raman2019,IN1C0246.m1.97,India,2,Transitional,,,,
Raman2019,IN1C0253.m3.94,India,3.9,Transitional,,,,
Raman2019,IN1C0266.m2.04,India,2,Transitional,,,,
Raman2019,IN1C0267.m4.93,India,4.9,Transitional,,,,
Raman2019,IN1C0268.m17.05,India,17.1,Transitional,,,,
Raman2019,IN1C0276.m20.96,India,21,Transitional,,,,
Raman2019,IN1C0279.m4.01,India,4,Transitional,,,,
